Escenario,Biomasa_Planta_f,Biomasa_Hongo_f,ROI_Planta,ROI_Hongo,Intercambio_C,Intercambio_P,n_critico,p_critico,% I,% II,% III,% IV
1,2.01779127802528,3.9763116584971026,0.5913071511271739,1.9232503730874368,0.2998633799601508,0.07638425032307394,0.12,0.1,0.0,0.13333333333333333,0.0,99.86666666666667
2,0.07027540918470371,7.647326730614496,1.9097331714448487,1.186808319964253,0.457873060392124,0.015596877557425934,0.12,0.1,0.13333333333333333,0.06666666666666667,87.66666666666667,12.133333333333333
3,0.25839708336073686,6.87382515783076,1.0630119489693917,0.996852578121446,0.2601445886079303,0.22961896172164362,0.12,0.1,0.0,99.93333333333332,0.06666666666666667,0.0
4,7.200417584140599,67.7797790629941,0.264277906890557,5.156472699827914,1.999421510791873,0.35197696442436527,0.12,0.1,3.5333333333333337,0.0,1.7999999999999998,94.66666666666667
