,Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,1800.0,8.378794514911812,61.52587559805225,3.382773102329313,4.9960214125825,61.259524788153094,0.2663508098991611,0.0018264726460758363,0.018534677586116623,5.074159653493968,1.999421510791873,1.999421510791873,0.1744636227804697,0.35197696442436527,0.16925337857754538,0.008164343939178286,1.244123111975956,0.06765546204658625,0.09992042825165001,0.007990524296974832,1.225190495763062,1.999421510791873,0.1744636227804697,0.35197696442436527,5.074159653493968,1.421812904024365,1.4177089850468365,0.2818824389183948,0.14999999999999997,0.29999999999999993,202.4458792617558,5.637648778367897,61.04218892757072,0.05333333333333334,0.035333333333333335,0.0,0.12000000000000004,0.1,1.2521136362729306,4.9049062749164225,0.5705593188269222,1.0,0.506449539355418,0.493550460644582,0.03492137529006424,0.0,0.007621263126766536,0.4412572695938058,0.264277906890557,5.156472699827914,0.08774588359028397,0.17653202330027307
std,1040.2703505540862,2.379886445081895,15.357540463909698,1.0678928409209945,1.4280259996614075,15.806046854769749,0.7512957134861807,0.034231175286519124,0.05564301783561379,1.6018392613814918,0.010411237068870196,0.010411237068870196,0.20642369956627893,0.40995021884626287,0.05681901444934385,0.027024263541165043,0.28657101540145613,0.02135785681841989,0.02856051999322815,0.022538871404585423,0.316120937095395,0.010411237068870196,0.20642369956627893,0.40995021884626287,1.6018392613814918,0.2413207072093797,0.19734353863666995,0.09735482679834888,2.776483210266819e-17,5.552966420533638e-17,148.41159609795923,1.9470965359669776,101.39841241910734,0.22477226386416982,0.18468250406330758,0.0,4.164724815400228e-17,0.0,0.2762724541746333,1.5493316502248424,0.18865153291378783,0.0,0.07902238343665448,0.07902238343665446,0.18255785510172154,0.0,0.056865673701920826,0.1304891573231222,0.2907296681797685,1.9484424861674274,0.12169733676677014,0.21285216823182967
min,0.0,1.2000000000000002,0.4562224386984083,0.6000000000000001,0.04081508202651277,0.2412620963012456,3.087065236971178e-14,-0.10523804330205166,-0.0226638552890554,0.9000000000000001,1.6842105263157894,1.6842105263157894,0.07604454249803155,0.1207140685785827,0.023040000000000005,6.177728268512308e-16,0.00023579090266154682,0.012000000000000002,0.0008163016405302553,9.261195710913534e-16,0.004825241926024912,1.6842105263157894,0.07604454249803155,0.1207140685785827,0.9000000000000001,0.22128639888392182,0.3693058610784462,0.001633093550085468,0.15,0.3,0.017305391816492773,0.03266187100170936,0.03266187100170936,0.0,0.0,0.0,0.12,0.1,0.011220778980244782,0.8769600000000002,0.36252688242542674,1.0,0.002676491770021605,0.31205763675924975,0.0,0.0,0.0,0.0,0.1320057277365587,0.11322423706248518,0.03802576997109505,0.06035789927239186
25%,900.0,7.428510484213786,64.72634460877181,2.9681735027973013,4.457316594849882,64.70820629480085,2.0702204638077195e-10,-0.0019843826099074646,0.0008816193012886053,4.452260254195952,1.9998571259077909,1.9998571259077909,0.14810177796731938,0.13763077168937382,0.14794307166602408,4.1440855688280745e-12,1.2960964465057727,0.05936347005594603,0.08914633189699764,6.210661391423159e-12,1.294164125896017,1.9998571259077909,0.14810177796731938,0.13763077168937382,4.452260254195952,1.497611203250259,1.4768946536126748,0.31960019780452004,0.15,0.3,62.69350345343527,6.3920039560904005,6.3920039560904005,0.0,0.0,0.0,0.12,0.1,1.2969188318602396,4.3030627062433044,0.4095726381789524,1.0,0.4614083964541118,0.4710749994904024,0.0,0.0,0.0,0.45684720041799,0.14886351442090862,4.316498021995513,0.07405202146725287,0.06881662776798218
50%,1800.0,8.318731990646626,66.27148121201122,3.324519094576826,4.989040020822127,66.25662295085027,1.4968629912206135e-06,-0.00120264379775481,0.0013434718631986087,4.986778641865239,1.9999464258569883,1.9999464258569883,0.16595392667667136,0.16463486248892517,0.16578292319656845,2.998423309979575e-08,1.3268998852052578,0.06649038189153651,0.09978080041644255,4.4905889736618404e-08,1.3251324590170057,1.9999464258569883,0.16595392667667136,0.16463486248892517,4.986778641865239,1.4992401956487158,1.4770612238729226,0.32195728658355616,0.15,0.3,197.3194070701333,6.439145731671124,6.439145731671124,0.0,0.0,0.0,0.12,0.1,1.3276133975136295,4.822991554986068,0.49942367436976787,1.0,0.5000000178368358,0.4999999821631642,0.0,0.0,0.0,0.48272637771261784,0.1757215386642389,5.690822421069037,0.08297859067699656,0.08231963634280304
75%,2700.0,9.647229335226406,67.29570148052352,3.8652065064974073,5.782745299164149,67.28374048501323,0.012303827057377157,-0.0008116374992502284,0.0022728993256420083,5.7978097597461105,1.999963906203925,1.999963906203925,0.19311861653453688,0.27607964525947254,0.1928218338647071,0.00024253974506578094,1.3470470562632897,0.07730413012994815,0.11565490598328299,0.00036911481172131465,1.3456748097002644,1.999963906203925,0.19311861653453688,0.27607964525947254,5.7978097597461105,1.4995485817506768,1.477088432420771,0.3223455635049551,0.15,0.3,332.1861519555241,6.446911270099101,74.63584089215551,0.0,0.0,0.0,0.12,0.1,1.3475553236390998,5.6026781993544414,0.7330251756000299,1.0,0.5289250005095976,0.5385916035458882,0.0,0.0,0.0,0.516811714115089,0.23166942760849635,6.717562923095704,0.09656217140769707,0.13804968452483382
max,3600.0,18.23923702176502,70.12449728037737,8.476260293283302,10.465958598849188,69.97340995593734,3.6078489497940844,0.48318736753739167,0.25341415393899114,12.714390439924951,1.9999713380972888,1.9999713380972888,7.875,7.0,0.7601963478622998,0.5292,1.4054127362182256,0.16952520586566602,0.20931917197698377,0.10823546849382253,1.3994681991187468,1.9999713380972888,7.875,7.0,12.714390439924951,1.4996789418656213,1.4770993841170261,0.32250210904048243,0.15,0.3,467.1051069204168,6.450042180809648,364.8287183313058,1.0,1.0,0.0,0.12,0.1,1.415014938709912,12.292763393468752,0.9999998738328361,1.0,0.6879423632407502,0.9973235082299784,0.9979225021137557,0.0,0.5131203619379495,0.5495833521610921,8.832031249475598,7.575428859927225,4.675781249722376,4.156249999753223
