,Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,1800.0,3.754142151453931,2.425919311191716,1.5153894833202322,2.2387526681336993,2.421585508446765,0.004333802744950841,0.00017219339803288306,0.0008787186325820124,0.9092336899921393,0.2998633799601508,0.2998633799601508,0.10049846515833823,0.07638425032307394,0.07514197366503356,9.1517801878436e-05,0.049498431234020986,0.03030778966640465,0.04477505336267398,0.00013001408234852518,0.048431710168935306,0.2998633799601508,0.10049846515833823,0.07638425032307394,0.9092336899921393,0.1488769561543129,0.12135013157558884,0.022214861350477705,0.05,0.02,51.016815604464576,0.4442972270095541,32.00404927859112,0.0,0.0013333333333333333,0.0,0.12000000000000004,0.1,0.049628445316369514,0.8340917163271058,0.41254300087192,1.0,0.4769245815409619,0.523075418459038,0.0,4.360299792667606e-06,0.0,0.4958994952877078,0.5913071511271739,1.9232503730874368,0.33582498454058524,0.2554821665865886
std,1040.2703505540862,1.8271733954390854,1.4512274289860727,0.753063496610988,1.0940141101098453,1.4574152514739995,0.029284162721079886,0.00973513791898172,0.0021476403497166577,0.4518380979665928,0.0014043205987997554,0.0014043205987997554,0.04912200666360267,0.055463486076686164,0.03759159072627845,0.003098514401032826,0.029076202638087335,0.015061269932219762,0.021880282202196906,0.0008785248816323964,0.029148305029479987,0.0014043205987997554,0.04912200666360267,0.055463486076686164,0.4518380979665928,0.004313019795480233,0.005833221783951577,0.0057138775667186364,0.0,0.0,24.395156964649416,0.11427755133437273,20.9876441208848,0.0,0.03650265540281319,0.0,4.164724815400228e-17,0.0,0.028902483920573072,0.41452019741758417,0.2613015199765151,0.0,0.06904947920163548,0.06904947920163548,0.0,0.00013677233615914944,0.0,0.055673915661944344,0.3864132397233263,0.5789083775657865,0.18656617212378382,0.20442098922037774
min,0.0,1.6,0.009581180322201515,0.8043973955507394,0.1,0.009397512779170726,8.69796337960342e-16,-0.015493778193918617,-0.017971658034365068,0.48263843733044365,0.2526315789473684,0.2526315789473684,0.0699933420859976,0.04009652029950546,0.014400000000000005,1.746440050267856e-17,8.733167421114559e-05,0.01608794791101479,0.002,2.609389013881026e-17,0.00018795025558341453,0.2526315789473684,0.0699933420859976,0.04009652029950546,0.48263843733044365,0.09,0.0727950652718518,0.0047144049488660085,0.05,0.02,0.15,0.09428809897732017,0.09428809897732017,0.0,0.0,0.0,0.12,0.1,0.00018437875466116327,0.4425942371339732,2.3806533338545054e-06,1.0,0.009108606368639971,0.4410427203059917,0.0,0.0,0.0,0.0,0.3669948146677876,0.07733619763458206,0.23332932797100406,0.13366548669678352
25%,900.0,2.361034648486868,0.9070536071286981,0.9408972178285001,1.4134960706780233,0.9069416842127587,6.844155487596788e-12,-0.0011595461848296906,0.00035376810313719753,0.5645383306971,0.2999584286594417,0.2999584286594417,0.07673068091729894,0.04685724566029795,0.04676894486277861,1.3778561015825207e-13,0.02501860168329678,0.018817944356570002,0.028269921413560467,2.0532466462790364e-13,0.018138833684255173,0.2999584286594417,0.07673068091729894,0.04685724566029795,0.5645383306971,0.14956996860856064,0.11989684982026846,0.01991433605865228,0.05,0.02,34.78119090988592,0.3982867211730456,14.208320648900346,0.0,0.0,0.0,0.12,0.1,0.025021936640428434,0.5177467970652732,0.1604380231223665,1.0,0.415529210610423,0.4646757338721338,0.0,0.0,0.0,0.45086584226704773,0.4119947783106269,1.351760843092612,0.25579068076918454,0.15620409754144243
50%,1800.0,2.9284826966413355,3.047459176902342,1.1677424973507649,1.751738802946967,3.0474591304874936,4.641484845522384e-08,-0.0005561872529808443,0.0005553613029874449,0.7006454984104589,0.2999703548452981,0.2999703548452981,0.08788405646421465,0.05804317668205519,0.05790610762417463,9.4179809030157e-10,0.06187628242545731,0.023354849947015296,0.03503477605893934,1.3924454536567151e-09,0.06094918260974987,0.2999703548452981,0.08788405646421465,0.05804317668205519,0.7006454984104589,0.14971874651077136,0.1199242642227415,0.019937045781840912,0.05,0.02,53.23268255832123,0.39874091563681824,32.22394820402691,0.0,0.0,0.0,0.12,0.1,0.061876283785807576,0.6426989644070334,0.49999985117362744,1.0,0.5000000126858021,0.4999999873141979,0.0,0.0,0.0,0.4811319770536618,0.48647218213935417,2.055616154082874,0.2929758058284896,0.19349637631086455
75%,2700.0,4.7822172237447935,3.629057404565253,1.9874112218858722,2.8509844789493126,3.629057404558409,7.333294464998983e-05,-0.0003502213071874677,0.0010854602746888011,1.1924467331315232,0.29997449735498183,0.29997449735498183,0.12144544718894275,0.09702170874450337,0.09642786937798183,2.0894888643996965e-06,0.0730820270400791,0.039748224437717444,0.057019689578986246,2.1999883394996947e-06,0.07258114809116818,0.29997449735498183,0.12144544718894275,0.09702170874450337,1.1924467331315232,0.14978987341675223,0.12057439627979122,0.02048800722495131,0.05,0.02,71.28554793202022,0.40976014449902615,50.14935704516266,0.0,0.0,0.0,0.12,0.1,0.0730820270402796,1.0963705518655855,0.6451756059677883,1.0,0.5353242661278662,0.584470789389577,0.0,0.0,0.0,0.5417958547791002,0.7397771422551276,2.4272152847512736,0.40487320966302315,0.3234505166678726
max,3600.0,7.414087453687525,3.9763116584971026,2.978429028306253,4.43775818075047,3.9763116584971017,0.4,0.1689646797095488,0.006577993456413911,1.7870574169837519,0.29997661533299735,0.29997661533299735,1.6666666666666667,1.6,0.23251102235831833,0.12000000000000002,0.12000000000000004,0.059568580566125066,0.0887551636150094,0.012,0.07952623316994203,0.29997661533299735,1.6666666666666667,1.6,1.7870574169837519,0.1498322786594536,0.13204618355767467,0.03677384805115352,0.05,0.02,89.33405741411455,0.7354769610230703,68.0950159025977,0.0,1.0,0.0,0.12,0.1,0.13200000000000003,1.6387142782638469,0.7250738760431025,1.0,0.5589572796940083,0.99089139363136,0.0,0.005097939057657705,0.0,0.5839195894340591,12.930555550437212,2.724834136044989,6.597222219610823,6.33333333082639
