,Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,1800.0,0.5366551786065579,6.4293059786014615,0.3866189129315667,0.15003626567499126,6.3838797369659765,0.04542624163548402,-0.0001454694202479707,0.0017386565079559478,0.27063323905209663,0.2601445886079303,0.2601445886079303,0.019503115668506477,0.22961896172164362,0.010577255138331972,0.0012926215618838939,0.12951656387115587,0.007732378258631333,0.0030007253134998256,0.0013627872490645202,0.12767759473931956,0.2601445886079303,0.019503115668506477,0.22961896172164362,0.27063323905209663,0.14987809216905262,0.3389937518197204,0.0014725895562812342,0.5,0.2,878.9570488559114,0.029451791125624686,0.02975178628246306,0.0006666666666666666,0.9993333333333333,0.0,0.12000000000000004,0.1,0.13087935112022042,0.26005598391376467,0.48162617729915397,1.0,0.47999796956897595,0.520002030431024,0.0,0.01815753490662244,2.91526809352376e-06,0.0,1.0630119489693917,0.996852578121446,0.07452692648463521,0.9884850224847566
std,1040.2703505540862,0.7971689141241302,1.1313682775605427,0.35357456455730685,0.4903689890547568,1.2221153049251527,0.13315783754969768,0.011228975204209745,0.006560242267048485,0.24750219519011474,0.16575176749188733,0.16575176749188733,0.024623525427813178,0.06773986802979888,0.019614650243267282,0.004145593169065857,0.020692595796516448,0.007071491291146138,0.009807379781095135,0.00399473512649093,0.024442306098503053,0.16575176749188733,0.024623525427813178,0.06773986802979888,0.24750219519011474,0.001984012368379728,0.02517708132330494,0.0006096834190715023,0.0,0.0,510.56079208593314,0.012193668381430043,0.02252491675012415,0.025819888974716113,0.025819888974716113,0.0,4.164724815400228e-17,0.0,0.018767017169167437,0.22927587590207474,0.1533007777179573,0.0,0.08303692170860662,0.08303692170860662,0.0,0.014059036491370993,0.00011290784775947371,0.0,0.24180196435490822,0.2827348511001727,0.04052900824512893,0.22724789479521065
min,0.0,0.25839708336073686,0.41336742482417277,0.24978999204138883,0.00860709131934806,0.234464787945723,1.5106732293258797e-15,-0.03088864129328539,-0.012142261201139426,0.17485299442897217,0.16970656082969318,0.16970656082969318,0.012472339619033374,0.20365311185913693,0.0003671770442152437,3.02228572121481e-17,0.0004085769109853575,0.004995799840827777,0.0001721418263869612,4.532019687977639e-17,0.00468929575891446,0.16970656082969318,0.012472339619033374,0.20365311185913693,0.17485299442897217,0.075,0.23020949506589958,0.0009064861257481486,0.5,0.2,0.1,0.018129722514962972,0.01833197958987416,0.0,0.0,0.0,0.12,0.1,0.00868992265291277,0.16970311857473033,0.01064163595205862,1.0,0.007637439233042831,0.4507075860818979,0.0,0.0,0.0,0.0,0.4780205999204459,0.19591836733854232,0.01967420611132842,0.4582578813081967
25%,900.0,0.2795952614300955,6.561750082967381,0.26940273971818623,0.010192521711909255,6.536697821277672,1.274151545913825e-11,-9.825148527798505e-05,5.8083394197216975e-05,0.18858191780273034,0.18302671801380005,0.18302671801380005,0.013441376170670935,0.20405069543719284,0.005526353167107348,2.549653110239989e-13,0.13116659200538008,0.005388054794363725,0.0002038504342381851,3.822454637741475e-13,0.13073395642555347,0.18302671801380005,0.013441376170670935,0.20405069543719284,0.18858191780273034,0.14996569632197615,0.33817391829782073,0.0014553551672883797,0.5,0.2,437.17148628563496,0.02910710334576759,0.02910760963688337,0.0,1.0,0.0,0.12,0.1,0.13227151564580572,0.18302066922743668,0.45654819552029263,1.0,0.45725604847679,0.46953626576496343,0.0,0.012594330501468054,0.0,0.0,0.9330112087962305,0.8276280043301094,0.07323593469621567,0.858777354144447
50%,1800.0,0.3191117841126067,6.730802627989207,0.3048758997353678,0.013446196941538752,6.7308025254092145,1.0257999263022405e-07,-4.2271252701679e-05,0.00010657651636769572,0.2134131298147574,0.2074257540913576,0.2074257540913576,0.015159100766675539,0.20477138958922816,0.006243703666632286,2.053855563421539e-09,0.1347640572062794,0.006097517994707355,0.00026892393883077507,3.0773997789067216e-09,0.1346160505081843,0.2074257540913576,0.015159100766675539,0.20477138958922816,0.2134131298147574,0.14998291994001964,0.3398457379310135,0.001464657541869075,0.5,0.2,878.1174523025707,0.0292931508373815,0.029293526056735252,0.0,1.0,0.0,0.12,0.1,0.13513209447378102,0.2074022016988339,0.49999998393993356,1.0,0.5000000223578591,0.4999999776421408,0.0,0.015345362976711045,0.0,0.0,1.0978119782653484,0.9109028092790064,0.07340267702402148,1.0237421303392997
75%,2700.0,0.3887462430365013,6.823755442695388,0.36108637333704596,0.020821850875518355,6.823755442682646,0.0008029563736322946,-2.323426166816328e-05,0.0002469892664769824,0.25276046133593216,0.24754870860261546,0.24754870860261546,0.017942373780529635,0.20818391984425963,0.00767456469851737,1.6098268383052596e-05,0.13654740895384931,0.007221727466740919,0.0004164370175103671,2.4088691208968836e-05,0.13647510885365294,0.24754870860261546,0.017942373780529635,0.20818391984425963,0.25276046133593216,0.14998864209356116,0.34074419084868085,0.0014696678168849872,0.5,0.2,1320.5661220364384,0.029393356337699742,0.029393553101365447,0.0,1.0,0.0,0.12,0.1,0.13661352324749976,0.24468585690472383,0.5453725392071731,1.0,0.5304637342350366,0.54274395152321,0.0,0.020430786078679618,0.0,0.0,1.2082723179087762,1.071798573099007,0.07347445318701154,1.1348187610389844
max,3600.0,4.925967737117912,6.87382515783076,2.604081108776802,2.740932831465837,6.873825157830758,0.6706869118109204,0.1800400522820734,0.040464275900604196,1.8228567761437613,0.7984173164192515,0.7984173164192515,0.6666666666666666,1.6666666666666667,0.22674497558677367,0.027000000000000003,0.1375192412320002,0.052081622175536045,0.05481865662931674,0.02012060735432761,0.13747650315661517,0.7984173164192515,0.6666666666666666,1.6666666666666667,1.8228567761437613,0.14999149571975284,1.25,0.025,0.5,0.2,1763.7176969799677,0.5,0.8999999999999999,1.0,1.0,0.0,0.12,0.1,0.13751924123200027,1.697745015289086,0.994900760695213,1.0,0.5492924139181021,0.9923625607669572,0.0,0.1972234706633178,0.00437290214028564,0.0,5.104166665550129,2.0919600531299953,1.4583333330143224,3.6458333325358065
