,Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,1800.0,0.7319023865037098,10.264376983328177,0.31491774083168356,0.41698464567202626,10.014778487512675,0.2495984958155005,-0.0002740712896018209,0.0019075226548933226,0.4723766112475254,0.457873060392124,0.457873060392124,0.3636092529331906,0.015596877557425934,0.014072876692171152,0.007440670471697501,0.20237233441625388,0.006298354816633674,0.008339692913440526,0.007487954874465016,0.2002955697502535,0.457873060392124,0.3636092529331906,0.015596877557425934,0.4723766112475254,0.5729833462078562,0.1671757558383015,0.07518819357558308,0.35,0.02,0.06661424022037706,1.5037638715116615,30.625680965186767,0.878,0.002,0.6366666666666667,0.12000000000000004,0.1,0.2098602892907189,0.4583037345553543,0.44595770233917614,0.7946917825724235,0.4921182937789921,0.5078817062210079,1.902407573777695e-06,3.5912130166250524e-07,0.23875019191837563,0.06070962897211706,1.9097331714448487,1.186808319964253,1.8756237395954625,0.03410943184938614
std,1040.2703505540862,1.7795291693669189,5.551653121659062,0.8443631104459217,1.026204661032951,5.200314556145357,0.7949262437304515,0.030047637662616318,0.03347345209662421,1.2665446656688826,0.3236355520596888,0.3236355520596888,0.038501408094789406,0.04914926293985756,0.04516188835661943,0.025383009176947784,0.10585451713552615,0.016887262208918435,0.020524093220659023,0.023847787311913542,0.10400629112290714,0.3236355520596888,0.038501408094789406,0.04914926293985756,1.2665446656688826,0.1330318157808883,0.015852898694727325,0.1172577056910177,0.0,0.0,0.03435024072530058,2.3451541138203544,19.081644339396817,0.32739495766663396,0.04469151546288826,0.48112008887127045,4.164724815400228e-17,0.0,0.12187138589680184,1.22523121948502,0.18600683950904418,0.16973370154017065,0.019120312764369284,0.019120312764369284,5.2093991405583155e-05,1.3908708206072125e-05,0.2171474249886678,0.1636180353348906,1.5359309935365866,0.8355607592015037,1.5333167195441302,0.06636844108439177
min,0.0,0.06058301802239545,0.8,0.06011436833096181,0.00041653393046539675,0.4000000000000001,1.776118491957725e-15,-0.07428413340379247,-0.05477843250119241,0.09017155249644271,0.08898032565825363,0.08898032565825363,0.3513663389521583,0.0031574363227407365,2.0853665264170427e-05,3.551759379836935e-17,0.0046909031399162675,0.0012022873666192363,8.330678609307936e-06,5.328355475873175e-17,0.008000000000000002,0.08898032565825363,0.3513663389521583,0.0031574363227407365,0.09017155249644271,0.4237176530826918,0.08619622439050262,0.0037870546881622613,0.35,0.02,0.03936863354642075,0.07574109376324523,0.07574109376324523,0.0,0.0,0.0,0.12,0.1,0.01726885761993515,0.08899177685460379,0.000639570188036501,0.5734961503151652,0.041166114674265564,0.49819793594839873,0.0,0.0,0.0,0.0,0.4764587444786138,0.25055148226893736,0.47184925997491184,0.004308186373931834
25%,900.0,0.06760383987437998,7.665793885049979,0.06665780510438463,0.0005657951940314825,7.665326901807992,1.440891437616877e-11,-0.00045566762681664014,-0.0007904591546051276,0.09998670765657694,0.09903569977116117,0.09903569977116117,0.3514029479797558,0.00333128343228445,0.0013537447789178359,2.881188475438013e-13,0.15329902015670144,0.0013331561020876925,1.1315903880629651e-05,4.322674312850631e-13,0.15330653803615985,0.09903569977116117,0.3514029479797558,0.00333128343228445,0.09998670765657694,0.5046786305840192,0.1566241414960977,0.018054298740387324,0.35,0.02,0.05070509345947362,0.3610859748077464,11.26815681985855,1.0,0.0,0.0,0.12,0.1,0.1533015787418356,0.09848697993655081,0.3305342135701914,0.641431408985736,0.49001397222787546,0.4982295332893458,0.0,0.0,0.06454327359235429,0.0,0.4886682947263812,0.27915355218712123,0.4796000301315121,0.008830647342907673
50%,1800.0,0.17706505009207635,7.796114403507126,0.07203153060498378,0.10478884479927131,7.7954410316990925,1.1898089967953756e-07,-0.00016062342790383946,-3.685413341014687e-05,0.10804729590747567,0.7489607584425775,0.7489607584425775,0.3534590087997175,0.003552758728946207,0.0033906856260893688,2.380877806849927e-09,0.15588537462333574,0.0014406306120996757,0.002095776895985426,3.5694269903861264e-09,0.15590882063398184,0.7489607584425775,0.3534590087997175,0.003552758728946207,0.10804729590747567,0.5097533321891827,0.15984817571614376,0.019905468643420795,0.35,0.02,0.05147740949439303,0.39810937286841586,30.692608937146357,1.0,0.0,1.0,0.12,0.1,0.15588939854930595,0.10465661028138629,0.4999999435105063,0.6737453108066247,0.5000000011824841,0.4999999988175159,0.0,0.0,0.06801027221344455,0.0,0.5760773616586768,1.7358779683575192,0.5466069847107682,0.03381413588591847
75%,2700.0,0.4302485157716876,8.587348664209612,0.16819097206950187,0.2607451114335664,8.494512947071332,0.0011181975848579585,3.936756047519686e-06,-2.0599280345479087e-05,0.25228645810425276,0.7498139666889819,0.7498139666889819,0.3652344996769421,0.008223387773511365,0.008145808336759121,2.124669457830954e-05,0.1679302892013158,0.0033638194413900375,0.005214902228671327,3.3545927545738755e-05,0.16989025894142665,0.7498139666889819,0.3652344996769421,0.008223387773511365,0.25228645810425276,0.5364312550309016,0.1737881258572526,0.033150963410205694,0.35,0.02,0.05567130603292719,0.6630192682041138,47.448974118152364,1.0,0.0,1.0,0.12,0.1,0.1683928683620224,0.24414064976749367,0.6003198262070081,1.0,0.5017704667106542,0.5099860277721245,0.0,0.0,0.4946224685487124,0.0,3.5822578448176245,2.046377920748118,3.5479506418204547,0.03381835628037594
max,3600.0,11.157342617342152,25.892308142533018,6.536025448402216,6.059438641640342,25.182045332530404,4.156670853338376,0.4517028560138062,0.20956359057359664,9.804038172603324,0.7498656009431401,0.7498656009431401,1.6666666666666667,0.8,0.4940084311742503,0.14376937773799667,0.5106491752034551,0.13072050896804432,0.12118877283280684,0.12470012560015127,0.5036409066506081,0.7498656009431401,1.6666666666666667,0.8,9.804038172603324,1.25,0.1974812570195819,0.39202343898304404,0.35,0.02,0.5,7.84046877966088,63.64311350890903,1.0,1.0,1.0,0.12,0.1,0.5582300956165696,9.482332678128477,0.6670100710776243,1.0,0.5018020640516012,0.9588338853257344,0.001457153331885432,0.0005386819524937579,0.4994844265802835,0.5360677460220636,3.991195699737245,2.0988176020997735,3.955681196184884,1.2666666664661113
